artist,title,url
The Killers,Mr. Brightside,https://www.last.fm/music/The+Killers/_/Mr.+Brightside
Oasis,Wonderwall,https://www.last.fm/music/Oasis/_/Wonderwall
Franz Ferdinand,Take Me Out,https://www.last.fm/music/Franz+Ferdinand/_/Take+Me+Out
The Killers,Somebody Told Me,https://www.last.fm/music/The+Killers/_/Somebody+Told+Me
Radiohead,Creep,https://www.last.fm/music/Radiohead/_/Creep
Coldplay,Viva la Vida,https://www.last.fm/music/Coldplay/_/Viva+la+Vida
Radiohead,Karma Police,https://www.last.fm/music/Radiohead/_/Karma+Police
Coldplay,The Scientist,https://www.last.fm/music/Coldplay/_/The+Scientist
Coldplay,Clocks,https://www.last.fm/music/Coldplay/_/Clocks
MGMT,Kids,https://www.last.fm/music/MGMT/_/Kids
Coldplay,Yellow,https://www.last.fm/music/Coldplay/_/Yellow
The White Stripes,Seven Nation Army,https://www.last.fm/music/The+White+Stripes/_/Seven+Nation+Army
Gorillaz,Feel Good Inc.,https://www.last.fm/music/Gorillaz/_/Feel+Good+Inc.
Coldplay,Fix You,https://www.last.fm/music/Coldplay/_/Fix+You
Kings of Leon,Sex on Fire,https://www.last.fm/music/Kings+of+Leon/_/Sex+on+Fire
Blur,Song 2,https://www.last.fm/music/Blur/_/Song+2
MGMT,Electric Feel,https://www.last.fm/music/MGMT/_/Electric+Feel
MGMT,Time to Pretend,https://www.last.fm/music/MGMT/_/Time+to+Pretend
Snow Patrol,Chasing Cars,https://www.last.fm/music/Snow+Patrol/_/Chasing+Cars
The Killers,When You Were Young,https://www.last.fm/music/The+Killers/_/When+You+Were+Young
Muse,Supermassive Black Hole,https://www.last.fm/music/Muse/_/Supermassive+Black+Hole
Kings of Leon,Use Somebody,https://www.last.fm/music/Kings+of+Leon/_/Use+Somebody
Muse,Starlight,https://www.last.fm/music/Muse/_/Starlight
Radiohead,Paranoid Android,https://www.last.fm/music/Radiohead/_/Paranoid+Android
Radiohead,No Surprises,https://www.last.fm/music/Radiohead/_/No+Surprises
Foster the People,Pumped Up Kicks,https://www.last.fm/music/Foster+the+People/_/Pumped+Up+Kicks
Arctic Monkeys,I Bet You Look Good on the Dancefloor,https://www.last.fm/music/Arctic+Monkeys/_/I+Bet+You+Look+Good+on+the+Dancefloor
Gorillaz,Clint Eastwood,https://www.last.fm/music/Gorillaz/_/Clint+Eastwood
The Strokes,Reptilia,https://www.last.fm/music/The+Strokes/_/Reptilia
The Killers,All These Things That I've Done,https://www.last.fm/music/The+Killers/_/All+These+Things+That+I%27ve+Done
Muse,Time Is Running Out,https://www.last.fm/music/Muse/_/Time+Is+Running+Out
R.E.M.,Losing My Religion,https://www.last.fm/music/R.E.M./_/Losing+My+Religion
Pixies,Where Is My Mind?,https://www.last.fm/music/Pixies/_/Where+Is+My+Mind%3F
The Verve,Bitter Sweet Symphony,https://www.last.fm/music/The+Verve/_/Bitter+Sweet+Symphony
The Killers,Smile Like You Mean It,https://www.last.fm/music/The+Killers/_/Smile+Like+You+Mean+It
Death Cab for Cutie,I Will Follow You Into The Dark,https://www.last.fm/music/Death+Cab+for+Cutie/_/I+Will+Follow+You+Into+The+Dark
Muse,Hysteria,https://www.last.fm/music/Muse/_/Hysteria
M.I.A.,Paper Planes,https://www.last.fm/music/M.I.A./_/Paper+Planes
The Fray,How to Save a Life,https://www.last.fm/music/The+Fray/_/How+to+Save+a+Life
Vampire Weekend,A-Punk,https://www.last.fm/music/Vampire+Weekend/_/A-Punk
Florence + the Machine,Dog Days Are Over,https://www.last.fm/music/Florence+%252B+the+Machine/_/Dog+Days+Are+Over
Joy Division,Love Will Tear Us Apart,https://www.last.fm/music/Joy+Division/_/Love+Will+Tear+Us+Apart
Coldplay,Don't Panic,https://www.last.fm/music/Coldplay/_/Don%27t+Panic
Modest Mouse,Float On,https://www.last.fm/music/Modest+Mouse/_/Float+On
The Strokes,Someday,https://www.last.fm/music/The+Strokes/_/Someday
The Kooks,Naïve,https://www.last.fm/music/The+Kooks/_/Na%C3%AFve
Coldplay,In My Place,https://www.last.fm/music/Coldplay/_/In+My+Place
Coldplay,Trouble,https://www.last.fm/music/Coldplay/_/Trouble
The xx,Intro,https://www.last.fm/music/The+xx/_/Intro
